,AY584828.1_16s,EF196661.1_16s,NC_001700.1_16s,JN711443.1_16s,NC_026992.1_16s,NC_024860.1_16s,AF486873.1_16s,AY729880.1_16s,EU333163.1_16s,MK133021.1_16s,NC_012374.1_16s,KY767671.1_16s,EU450583.1_16s,EU009397.1_16s,NC_010195.2_16s,KR030070.1_16s,NC_007239.1_16s,NC_009629.2_16s,NC_007240.1_16s,KR011113.1_16s,GU261719.1_16s,GU947004.1_16s,AF492350.1_16s,NC_007238.1_16s,GU947021.1_16s,AY488491.1_16s,KM506758.1_16s,KX689229.1_16s,NC_026064.1_16s,EF490456.1_16s,NC_028161.1_16s,FJ207528.1_16s,KX609626.1_16s,GU229281.1_16s
AY584828.1_16s,0,0.45737746059917794,0.42213797512548856,0.43772468329546776,0.4137367510277729,0.4141550023652716,0.41285136334519534,0.4536434131324821,0.4140308117214497,0.5960626239422566,0.451512851069464,0.5988736001876239,0.4623052600301988,0.5652902194629902,0.5732291220801875,0.46057464315133356,0.5895141984379153,0.43304295793149983,0.5906471878972731,0.4352978323264391,0.6043151061810839,0.43900171534167304,0.4396574621682218,0.6044130608424074,0.44045684666380996,0.44035435477017654,0.4363669018253157,0.43690275948381974,0.4329064560922451,0.4285820312539602,0.42963475279389385,0.4365456996296186,0.4312840543027997,0.43580595176847303
EF196661.1_16s,0.45737746059917794,0,0.41165842455078094,0.40620096777510134,0.43193784821696957,0.4264171137807843,0.43087425903646925,0.42845341519782243,0.43267936749440267,0.5724678963843226,0.44539360928604227,0.5742346910150926,0.44298514654700316,0.5597204300278388,0.5608602399532557,0.4713852012999683,0.5916401306489886,0.4274032002389263,0.5920935522047504,0.4454590025164323,0.5972440851495463,0.44218203582287635,0.44924818078290624,0.599450791126122,0.44805774785570535,0.4511990339414456,0.4323697305949581,0.4320866405433378,0.44704582363030876,0.4474143558429937,0.4486491705126763,0.45367945939477033,0.45313373924902034,0.45077365869255526
NC_001700.1_16s,0.42213797512548856,0.41165842455078094,0,0.39940832846145724,0.4112763280755963,0.4075445554262745,0.40761833855914026,0.41659764916309994,0.4064552992877075,0.5596563541293764,0.43330616062184385,0.5623164183615176,0.42747177836219113,0.5440278048600304,0.5550831085272279,0.4428234422626986,0.567196432179192,0.4254111700277404,0.5651394490851496,0.4073582374750845,0.5752034093373991,0.4105722234486484,0.41439673279441314,0.5724338833050073,0.4145313954498674,0.4163288494028964,0.4005386540265577,0.403620734181267,0.4251038908602528,0.4245466742523263,0.40921749413052116,0.41421578018829447,0.4262362450102444,0.4119005548204706
JN711443.1_16s,0.43772468329546776,0.40620096777510134,0.39940832846145724,0,0.4105713695779103,0.41231131408036803,0.41141040596862843,0.39695793866485635,0.4127190884391477,0.5846481113911792,0.43814111334658473,0.5864598248247237,0.4358758694936006,0.5635125855083598,0.5565341078180269,0.4660985494523461,0.5813055072480601,0.41685003030738144,0.5805385772386435,0.42153377340966713,0.5860806225378173,0.4153644591134145,0.43192416992157734,0.5889049078511528,0.4314989098355815,0.41700126838362234,0.41301663357937723,0.4072842297632289,0.4246063047957014,0.4231395748127705,0.41907033814904193,0.42227934108024184,0.4264423022320982,0.42136666747085355
NC_026992.1_16s,0.4137367510277729,0.43193784821696957,0.4112763280755963,0.4105713695779103,0,0.30218845339639,0.29220139972836484,0.443066129202489,0.2933406244986126,0.5459651500083087,0.4321380057041795,0.5439153900637105,0.44873378040409895,0.5377841260686826,0.523719480728853,0.4298123825650563,0.5394411605070879,0.41793849086344814,0.5468892829983256,0.3990653349091265,0.5467621173567534,0.39834691274405976,0.40648946157793386,0.5486708922764785,0.40810927275704334,0.4132136824135167,0.3925683141332029,0.40653480074992804,0.4037318734926956,0.40114134502706533,0.39219229666973265,0.3983345121568254,0.4034525335953864,0.39639827316416754
NC_024860.1_16s,0.4141550023652716,0.4264171137807843,0.4075445554262745,0.41231131408036803,0.30218845339639,0,0.29888817939914847,0.4404198601838035,0.3000457840575096,0.5386239591713136,0.4240427252132615,0.5366131914945855,0.4397393274845725,0.5239838562747607,0.5244667764414119,0.4249758934388636,0.5361623125928509,0.4139253666623103,0.5384147694500456,0.40007954475722046,0.5434458938732362,0.4023042724153924,0.4069095484553707,0.5453439319054527,0.4085324361277979,0.4156857590961937,0.3912634561994111,0.4052118238235992,0.4040401967271807,0.4026661687346186,0.39609554524436064,0.4052571988820941,0.40498701294372697,0.40032871489651284
AF486873.1_16s,0.41285136334519534,0.43087425903646925,0.40761833855914026,0.41141040596862843,0.29220139972836484,0.29888817939914847,0,0.4407545105525327,0.2856830067784399,0.546160696591676,0.429607212078001,0.5424728351778435,0.44449111528945195,0.5369445745269923,0.5258430418488722,0.4273216552449021,0.541652225100943,0.4131145281835601,0.5439469204036885,0.39554134895744897,0.5490133052879109,0.39774129502579547,0.40168389144541716,0.5509357639250102,0.4045145666121006,0.4128488990125439,0.3879965148218866,0.40528404268894347,0.3988612047795061,0.39629920398274604,0.3904015161747205,0.395917763980617,0.3985888517047713,0.39399639926744656
AY729880.1_16s,0.4536434131324821,0.42845341519782243,0.41659764916309994,0.39695793866485635,0.443066129202489,0.4404198601838035,0.4407545105525327,0,0.4408656190320083,0.5894440316703803,0.45923631838560136,0.5894440316703803,0.45382466067401406,0.5771232175568768,0.5932721260099654,0.4927683169011057,0.6008803002346109,0.4529364669217004,0.6040070284762811,0.43830025815080953,0.6175252099330784,0.43758035755478675,0.4503457036931865,0.6180989124993318,0.4499002678470567,0.4553722702896497,0.4470648800949776,0.44187191302054996,0.45175930649472473,0.44952873300515006,0.456863450139378,0.4610518453475108,0.45168161656219097,0.4589990694946161
EU333163.1_16s,0.4140308117214497,0.43267936749440267,0.4064552992877075,0.4127190884391477,0.2933406244986126,0.3000457840575096,0.2856830067784399,0.4408656190320083,0,0.5476962320981281,0.431102304101488,0.5439852052594922,0.44736191344270554,0.5368118842963149,0.5256912590745401,0.42881655096217813,0.5423406537546942,0.41522878777184263,0.5446506882698122,0.39753939829560436,0.549726383461961,0.39975186162815696,0.40249260333094367,0.551657103159916,0.4053316750053799,0.4149456712778845,0.3887627454021118,0.40684104387741477,0.4014838889425972,0.39890301665974,0.38998175073306857,0.39610320397302234,0.40120656356574497,0.394176748263107
MK133021.1_16s,0.5960626239422566,0.5724678963843226,0.5596563541293764,0.5846481113911792,0.5459651500083087,0.5386239591713136,0.546160696591676,0.5894440316703803,0.5476962320981281,0,0.5560435893738996,0.33325252792533416,0.5810009830245242,0.3988809215307069,0.511410229923495,0.5829253612684155,0.5032926527673206,0.591114227263855,0.49851720125154864,0.5700401607678981,0.5070431715940117,0.5628504650410671,0.5785856029366475,0.5072630384639483,0.5754406839439788,0.5710414238259867,0.5891144812740479,0.5949109267868005,0.59268618684139,0.5948010830759274,0.5801477993430888,0.589545381702161,0.589002778723299,0.5872437990701544
